ID,geo_point_2d,geo_shape,bike_age,crash_time,crash_year,drvr_age
59,35.9228770955; -79.055002742,"{""type"": ""Point"", ""coordinates"": [-79.05500274200448, 35.92287709553583]}",35,04:03:00 PM,2012,22
60,35.9099230922; -79.056212742,"{""type"": ""Point"", ""coordinates"": [-79.05621274203419, 35.90992309219657]}",53,08:04:00 AM,2007,34
61,35.9110410921; -79.0661427454,"{""type"": ""Point"", ""coordinates"": [-79.066142745353, 35.91104109212996]}",51,03:32:00 PM,2009,61
62,35.9254300002; -79.0246999995,"{""type"": ""Point"", ""coordinates"": [-79.02469999947469, 35.925430000193984]}",0,04:48:00 PM,2013,44
63,35.9174070924; -79.0941027536,"{""type"": ""Point"", ""coordinates"": [-79.09410275356177, 35.917407092378085]}",54,07:58:00 AM,2011,49
64,35.9112170925; -79.0605027439,"{""type"": ""Point"", ""coordinates"": [-79.0605027439476, 35.911217092503136]}",28,10:51:00 PM,2011,19
65,35.910947092; -79.0670027453,"{""type"": ""Point"", ""coordinates"": [-79.06700274526085, 35.91094709203774]}",57,03:29:00 PM,2012,58
66,35.9117199998; -79.0622000001,"{""type"": ""Point"", ""coordinates"": [-79.06220000005987, 35.91171999975163]}",24,07:00:00 PM,2013,23
67,35.9304670971; -79.0549027427,"{""type"": ""Point"", ""coordinates"": [-79.05490274271537, 35.93046709711043]}",23,10:07:00 AM,2011,28
68,35.9174; -79.0612000005,"{""type"": ""Point"", ""coordinates"": [-79.06120000048443, 35.91739999999003]}",20,10:45:00 AM,2013,53
69,35.9054200003; -79.0162999997,"{""type"": ""Point"", ""coordinates"": [-79.016299999729, 35.90542000026161]}",64,10:28:00 AM,2013,60
70,35.9276870969; -79.0301727355,"{""type"": ""Point"", ""coordinates"": [-79.03017273554254, 35.9276870969423]}",63,09:32:00 AM,2010,58
71,35.915260094; -79.0568027424,"{""type"": ""Point"", ""coordinates"": [-79.05680274235331, 35.91526009397395]}",28,06:32:00 PM,2010,26
72,35.9098670932; -79.04728274,"{""type"": ""Point"", ""coordinates"": [-79.0472827399995, 35.90986709315614]}",39,07:56:00 AM,2008,36
73,35.9037570912; -79.0527027412,"{""type"": ""Point"", ""coordinates"": [-79.05270274116236, 35.90375709115476]}",60,11:00:00 AM,2011,59
74,35.9075230917; -79.062782744,"{""type"": ""Point"", ""coordinates"": [-79.06278274395892, 35.907523091704945]}",13,05:42:00 PM,2009,34
75,35.9207670937; -79.0860027521,"{""type"": ""Point"", ""coordinates"": [-79.08600275205306, 35.9207670937152]}",22,05:45:00 PM,2012,20
76,35.916887094; -79.0459027398,"{""type"": ""Point"", ""coordinates"": [-79.04590273975347, 35.91688709404356]}",24,04:39:00 PM,2012,70
77,35.943357102; -78.9831927216,"{""type"": ""Point"", ""coordinates"": [-78.98319272161636, 35.94335710203739]}",22,11:51:00 PM,2009,26
78,35.8830070866; -79.0698267451,"{""type"": ""Point"", ""coordinates"": [-79.06982674509997, 35.883007086647844]}",9,07:35:00 AM,2009,43
