Waterbody,County,StockSched,Designatio,RainbowTro,BrownTrout,BrookTrout,Notes,HeritageDa,NationalFo,NoFallStoc,FWVA_Trout,FWVA_Rainb,FWVA_Brown,FWVA_Brook,FWVA_Wild,GlobalID
South Fork Holston River,Smyth,SR,SR,"1","1","0","16"" Minimum. 2 trout limit, Only area above Buller","0","0","0","1","1","1","0","0",{8B07D954-D408-4127-BEB2-8FFB789B11EA}
South Fork Powell River,Wise,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{A5C81BBF-68DF-45A9-9A84-E70F39FE836D}
Middle Fork Holston River Upper B,Smyth,B,PNT,"1","0","0",,"0","0","0","1","1","0","0","0",{E4392305-3994-4D0D-A40E-45AF5E134881}
Lick Creek,Bland,B,PNT,"1","0","0",,"0","0","0","1","1","0","0","0",{184A9734-CD70-4EF5-A180-821D52A4A734}
Middle Fork Holston River Chilhowie,Smyth,A,PNT,"1","1","0",,"1","0","0","3","1","1","0","0",{D241953A-D188-4CDD-B037-F6C7969B7A5C}
Green Cove Creek,Washington,SR,SR,"0","0","1","12"" Minimum. Wild Brook.","0","0","0","1","0","0","1","0",{1250B7C9-1B21-40C2-8F27-048E3236ABB1}
Valley Creek,Washington,C,PNT,"1","0","0",,"0","0","0","1","1","0","0","0",{ADCF74EB-B5A3-4D17-BF3B-C3E9784AB30D}
South Fork Holston River Lower C,Smyth,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{9844A4C3-F797-453D-81FE-02582368E35D}
Cressy Creek,Smyth,C,PNT,"1","1","0",,"0","1","0","1","1","1","0","0",{D0DAF8DD-D98B-4900-9AED-7E49FC5B9AAA}
Staley Creek,Smyth,A,PNT,"1","1","1",,"0","0","0","3","1","1","1","0",{D7FFBB87-4D06-460A-A90A-98424834CBAD}
Middle Fork Holston River Marion,Smyth,A,PNT,"1","1","1",,"1","0","0","3","1","1","1","0",{ED2ECBFC-83A4-4196-8136-0AB909EB4FF2}
Hurricane Creek,Smyth,C,PNT,"1","1","0",,"0","1","0","1","1","1","0","0",{43AA8661-7380-4B92-AFF0-B8DF77C8A172}
Martins Creek Section B,Lee,A,PNT,"1","0","1",,"0","0","0","3","1","0","1","0",{8DD1465E-37F6-471F-97AD-9BB323137279}
Little Tumbling Creek Section A,Tazewell,B,PNT,"1","0","1",,"0","0","0","1","1","0","1","0",{A82B18A3-EB39-40F6-8B1B-E5809797AF54}
Middle Fork Holston River Upper A,Smyth,B,PNT,"1","0","0",,"0","0","0","1","1","0","0","0",{279FFF38-D342-4BD2-BD1B-672497D73668}
South Fork Holston River Lower A,Smyth,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{CCA9B7B1-8478-4B95-8B0C-0AFEF9F2AFD9}
South Fork Holston River,Smyth,SR,SR,"1","1","0",Catch and Release. Buller property,"0","0","0","1","1","1","0","0",{261EBB48-C3CD-4357-A6FB-1B9CCFDEE67C}
Dan River above Powerhouse,Patrick,SR,SR,"0","0","0",Catch and Release. Wild browns and brooks. Permit from Danville City required.,"0","0","0","1","0","0","0","0",{43EDB1ED-76E6-440F-B133-EEA9F4ACE707}
Smith River,Henry,A,PNT,"1","0","0","Limit 1 Brown Trout minimum 24"".  Brown trout must be < 10"" or > 24"".  6 trout limit.","0","0","0","3","1","0","0","0",{E28C04E4-EA01-4DBD-8127-54A631F1968A}
Smith River,Henry,SR,SR,"0","0","0","Limit 1 Brown Trout minimum 24"".  Brown trout must be < 10"" or > 24"".  6 trout limit.","0","0","0","1","0","0","0","0",{E6119C57-171B-4AAC-A7FA-46E4C7B926CE}
Dan River,Patrick,B,PNT,"0","0","1",,"0","0","0","1","0","0","1","0",{57683F88-7829-4328-87D4-9ECF2F697371}
Smith River,Henry,SR,SR,"0","0","0","Limit 1 Brown Trout minimum 24"".  Brown trout must be < 10"" or > 24"".  6 trout limit.","0","0","0","1","0","0","0","0",{194A98FF-BA78-498D-A1B4-B7407FB82E01}
Smith River,Henry,B,PNT,"1","0","0","Dam - Limit 1 Brown Trout minimum 24"".  Brown trout must be < 10"" or > 24"".  6 trout limit.","0","0","0","1","1","0","0","0",{70FF46AA-3DCB-4504-A6BC-3C8FBAEA5FE9}
Rock Castle Creek,Patrick,B,PNT,"1","1","1",,"0","0","0","1","1","1","1","0",{A1BB128D-267C-4AF4-9ED7-FE81918C76B4}
Round Meadow Creek,Patrick,C,PNT,"0","0","1",,"0","0","1","1","0","0","1","0",{3539DE88-E8AF-456F-9FDD-D9E6C90DA51D}
Dan River above Townes,Patrick,SR,SR,"0","0","0","16"" Minimum. 2 trout limit. Permit from Danville City required. In b/t reservoirs. Wild all species.","0","0","0","1","0","0","0","0",{B1DE8038-3E59-423B-AE95-C0E9F46813BC}
Dan River (Below Powerhouse),Patrick,A,PNT,"1","1","1",Kibbler section.,"0","0","0","3","1","1","1","0",{C8C6C30B-672B-4D2C-BB11-B86E549E985B}
Runnett Bag Creek,Franklin,B,PNT,"1","1","0",,"0","0","0","1","1","1","0","0",{0D4A7B6C-4F43-4D67-B6F6-28E802540E5A}
North Fork Stewarts Creek,Carroll,SR,SR,"0","0","0",Catch and Release.,"0","0","0","1","0","0","0","0",{FDA1AC53-B10C-401C-BDA4-55B284CC498A}
Poorhouse Creek,Patrick,C,PNT,"0","0","1",,"0","0","1","1","0","0","1","0",{25ECB28C-2F55-4C59-BE3A-037F7CEA931E}
South Fork Stewarts Creek,Carroll,SR,SR,"0","0","0",Catch and Release.,"0","0","0","1","0","0","0","0",{FFA0A87C-9BDA-4E83-AA95-4D7173D86FB7}
Stewarts Creek,Carroll,B,PNT,"0","0","1",,"0","0","1","1","0","0","1","0",{DAB9F45E-8018-4FD9-A38F-D266542748E5}
Powell River,Wise,A,PNT,"1","1","0",Stocked in the fall,"0","0","0","3","1","1","0","0",{9CEF076B-67D8-42CB-9901-EBBA9C411895}
Clarks Creek,Patrick,B,PNT,"0","0","1",,"0","0","0","1","0","0","1","0",{8457DC0A-35F0-4414-8A59-2FFA49DDF1CB}
Hogue Creek,Frederick,B,PNT,"1","0","0",One parking area off Indian Hollow road.,"0","0","0","1","1","0","0","0",{C58D028B-6077-4960-93CF-2F7D43AE0367}
Lovill's Creek,Carroll,C,PNT,"1","0","0",,"0","0","0","1","1","0","0","0",{B965E24F-4B23-47C3-A9E2-EFC8B66765D7}
Ararat River,Patrick,B,PNT,"0","0","1",,"0","0","0","1","0","0","1","0",{839579E0-BCB8-4B0C-BF28-0322BB58ACEA}
West Fork Little River,Floyd,B,PNT,"1","0","0",,"0","0","1","1","1","0","0","0",{7E481659-8149-45C3-A3EF-66685FDC4B69}
Venrick Run,Wythe,SR,SR,"1","0","0",Catch and Release. Town of Wytheville Property,"0","0","0","1","1","0","0","0",{E5E016A7-3300-4B0C-BC2D-6D823F09074A}
