Waterbody,County,StockSched,Designatio,RainbowTro,BrownTrout,BrookTrout,Notes,HeritageDa,NationalFo,NoFallStoc,FWVA_Trout,FWVA_Rainb,FWVA_Brown,FWVA_Brook,FWVA_Wild,GlobalID
"Naked Creek, SB",Page,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{768AB342-4039-4E09-8DF1-35C794C03810}
Big Run,Rockingham,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{91231D98-6B0B-4961-B127-102B4217A3AC}
North River,Augusta,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{10AD855C-9DF5-4B93-88B9-B87CE75555FD}
North River,Augusta,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{89734378-0742-4BB5-A988-70F74D1CE39A}
Jeremys Run,Page,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{9E217C08-C287-450F-9EE6-CAC7565FB49A}
"Naked Creek, SB",Page,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{E87A97E0-2C9C-494E-880D-572923A147F2}
Laurel Fork,Highland,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{EE175E27-0319-4E06-9A78-1FE8AD298B94}
Meadow Run,Augusta,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{1E0E75DA-4D8D-474A-9065-7A66BFDB10CC}
Big Ugly Run,Page,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{28F14273-2FE8-416B-88C7-70A956A821E6}
Mills Creek,Augusta,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{2894EB45-64F7-482E-A20D-08DED5C08540}
Dry River,Rockingham,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{30800798-E28C-4540-8B03-14BDED5BCA19}
Paine Run,Augusta,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{93E6A664-2811-41DC-9882-329E9082E5F0}
Madison Run,Rockingham,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{1487BDB8-D528-40D6-B333-213B9E98573F}
"Naked Creek, SB",Page,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{B47B2BC8-0737-4AFB-94B1-1652154EDEC6}
Dry River,Rockingham,B,PNT,"0","0","1",,"0","0","0","1","0","0","1","0",{34588171-B805-458C-B06F-F70555D3FCB3}
North River,Augusta,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{9CB94425-E68E-45E0-81F8-16956C4CBC04}
Little Stony Creek,Shenandoah,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{33D6EB0F-E142-4B73-9ED0-94F52A267823}
North River,Augusta,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{A32209EB-22C2-448C-87EB-87ED82EE24FF}
Simpson Creek,Alleghany,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{4831A397-618D-47BD-8CBB-CA1FDC4733D8}
Little Passage Creek,Shenandoah,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{7016C399-BC37-41EE-B3E4-74D3F65BF4E7}
Little Back Creek,Bath,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{9E7228AB-FFE0-4196-99D1-E40F31A6CA97}
Pounding Mill Creek,Alleghany,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{09914CC7-FD53-4644-BE02-3D517CF8F125}
Guys Run,Rockbridge,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{39226687-79ED-46D0-98B9-81583DEBE05E}
Middle Creek,Botetourt,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{4FF38CDF-5F9A-4A0A-A9F0-8B1309F7AF07}
Shawvers Run,Alleghany,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{80E34BD0-C63B-4790-8B57-F5D0B4640CE0}
Little Stony Creek,Shenandoah,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{E5F42F8F-8E20-4BAA-B835-D4C13137F5D2}
Barbours Creek,Craig,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{162CCCE1-2C24-43EE-B38D-3D9983338038}
South Buffalo Creek,Rockbridge,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{64A75994-AA1B-4636-B4B9-3E395970A795}
Johns Creek,Giles,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{7A760B6D-B775-4C02-B81C-527A9B6BB08F}
Barbours Creek,Craig,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{9E8EC306-08EC-4778-B509-403275DB241A}
Benson Run,Highland,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{F185395C-7EAD-4B3C-836E-C1F5CB71E654}
"Ramseys Draft, R. Prong",Augusta,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{D4A03F4F-3DBD-42C4-840E-D6B00CD53FF3}
St. Marys River,Augusta,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{92D207AF-C842-4F66-AD70-7684243FF3BC}
Barbours Creek,Craig,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{A3D59F30-7C99-42C7-BC6F-C6863AB2AE69}
"Ramseys Draft, L. Prong",Augusta,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{8C674188-E9B5-41B7-BEB1-1A13DC254BED}
Piney River,Rappahannock,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{918F7E34-6FAB-4675-B95F-83C3ACF0DFC4}
Robinson River,Madison,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{9E3D6AC7-1098-4A51-8D48-E1136DF859FB}
Smith Creek,Alleghany,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{69119774-3113-4D8C-BEE2-B61D78D183BD}
Hughes River,Madison,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{570D66E8-3F33-480F-ADAB-708AFD9928C9}
"Thorton River, NF",Rappahannock,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{CFF8FFE1-4F6C-4A14-9938-9AD7C80D9B33}
Hazel River,Rappahannock,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{C38DFC76-DCA8-41FA-ADA8-4866116CFBB5}
Ramseys Draft,Augusta,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{FF1B48B2-4311-4E84-ACDD-DF23DEFC973F}
Big Marys Creek,Rockbridge,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{A0F7DDC5-8681-4ECC-9DC9-5C8D7FB7CFFE}
Jordan Run,Bath,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{9B34A3F6-C0B7-41D4-80E0-FA3A0D45FC10}
Mare Run,Bath,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{59A120E8-B2F5-4025-9001-3D5A02BE8131}
Cascades Creek,Bath,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{D1B49504-E665-444A-9303-12A712823CAA}
Meadow Creek,Craig,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{A9367739-5E3A-4E98-8709-B5457F3FD1BB}
Muddy Run,Bath,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{EDD9678A-6639-421F-B47A-E8503A1F44F7}
Smith Creek,Alleghany,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{273BDBB4-F05E-4725-8C1E-6077D593B462}
Pounding Mill Creek,Alleghany,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{F576AEC0-F90C-4974-BF1A-F520408F3EB7}
St. Marys River,Augusta,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{305F8B20-0DD0-48FB-AB9F-54643E37CB51}
South River,Greene,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{14988E30-4423-401C-BF4D-AA38096DA81B}
"Piney River, NF",Amherst,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{F3FA28A0-5CCF-4AAC-9AB6-2206CABDB774}
Little Piney River,Amherst,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{16FB31DB-AB08-48B1-A737-658AC62C6648}
Reed Creek,Bedford,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{AF1DEB66-A15C-4420-8011-5208CF8EC4C7}
"Tye River, SF",Nelson,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{B6C493C1-421C-4A5D-A3B7-399DF25A27EB}
Rose River,Madison,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{DA1D9B37-25A6-46D3-BE01-F31A9876DD39}
"Buffalo River, NF",Amherst,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{719F31A3-765B-4C0F-B939-5F4070FCAA02}
"Tye River, NF",Nelson,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{86A6A4E0-C3DB-4197-BA26-666273A02FA6}
"Piney River, SF",Amherst,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{53A4EF78-C24F-493E-AC59-A62346BA2CC8}
Shoe Creek,Nelson,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{68FAAADB-8219-4A73-8CD8-CD881DB64AA4}
Doyles River,Albemarle,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{C9689738-0D16-4F70-BCF9-CBA5EE060F06}
Hunting Creek,Bedford,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{D9F9E39F-6E56-4650-B158-DD0D8BCC7C8E}
"Piney River, SF",Amherst,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{732FBCA7-C440-45DE-842E-F0A36A771E2A}
Little Irish Creek,Amherst,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{EF1BD164-C1DB-4D3C-BD18-CCDD8A585B6C}
Stony Creek,Giles,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{E197927C-A6FF-40F4-9632-459475E33B4F}
"Stony Creek, NF",Giles,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{D0109C60-01EE-44D9-AB13-AC8E80CCE633}
Little Stony Creek,Giles,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{C6FC1E3B-E4C0-413E-A2BE-3EBCABB2B9DB}
Stony Creek,Giles,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{E1ADE902-2DCB-4AEC-A8F6-A19EF810734D}
"Cove Creek, WF",Tazewell,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{96B2B3F2-AA7D-4A71-BEEF-8B3A341E1D4A}
Little Stony Creek,Giles,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{AF318D3F-7AD3-4CB7-8FA0-2FD8CCE0471D}
Stony Creek,Giles,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{7922E421-529B-45E9-A8D7-E31B1F3A629B}
Helton Creek,Grayson,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{0996179B-1B76-45B1-B865-F5004CFCFC8F}
Overstreet Creek,Bedford,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{D66F75A9-7AB2-48C5-B048-94B1C20EBFE8}
Laurel Fork,Floyd,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{643C6B95-2161-4BA8-92AD-CF5BC4FDE9EC}
Middle Fox Creek,Grayson,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{6ED8DF1C-1233-4196-8055-FE6367473793}
Chestnut Creek,Grayson,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{E6A67D35-189F-4839-94D4-B8E772AD2BFA}
Mira Fork,Floyd,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{2FF23A3E-808E-4493-80C8-03B130D7DAAF}
Fox Creek,Grayson,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{B18E4AF5-10BC-4CAF-BE2B-B9739F92CF30}
Burks Fork,Floyd,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{3280C3BD-4D85-44D3-A22E-45457B9EDBE1}
Laurel Fork,Floyd,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{F98B6210-F1A7-46EC-BCF6-F6F7780C3A0F}
"Dry Run, EF",Wythe,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{4E377F0C-110F-43DA-BE24-9E1B9372EAA5}
Helton Creek,Grayson,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{B49DD63E-5E3D-455E-8FC4-879264ED8F9C}
Big Reed Island Creek,Carroll,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{97256751-B478-4595-B491-8F7053401E6A}
Howell Creek,Floyd,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{319E2C4C-B167-4F6C-A4DB-689B43D724C2}
Fox Creek,Grayson,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{EB91B6BE-A102-4973-9BA6-86D3932FB9C6}
Crooked Creek,Carroll,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{8E99121F-B134-4DC0-A5A1-380A953139E0}
Little Indian Creek,Floyd,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{4F5CAC15-B9BB-46D9-8C48-AF0B76FD10A0}
Maiden Spring Creek,Tazewell,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{5381A87C-D032-42E3-BF57-E17950B9CAC5}
Little Laurel Creek,Smyth,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{2438D287-65CE-4EEA-A1D9-D2B2E26DB529}
Dan River,Patrick,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{9C0A827B-9F43-4332-932E-31E9AEDD1531}
Rock Castle Creek,Patrick,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{1740F616-4700-4DE8-BFC0-BF44B7080391}
Round Meadow Creek,Patrick,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{7C4D4D1B-DF0E-4F60-BD77-88370F9B6EAF}
Runnett Bag Creek,Franklin,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{F58FD899-1618-4C8B-8943-3C3609087E20}
Round Meadow Creek,Patrick,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{14B28F91-B560-4C27-9175-F0FB727EDD37}
Elk Spur Branch,Carroll,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{B62CACD0-1D72-418F-A000-58511E88304D}
Dan River,Patrick,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{9FBD66E9-C343-4941-B8B3-B0F4895F2714}
"Chestnut Creek, WF",Grayson,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{11773DDC-3920-4816-B148-937D425AD9FA}
"Chestnut Creek, EF",Grayson,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{304BD163-30A1-42AB-9C91-B5AD33871576}
"Crooked Creek, EF",Carroll,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{28781F50-70C7-4F18-AB0B-CB2253916633}
"Chestnut Creek, EF",Grayson,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{F5B0262A-6F80-413C-BC61-1B85572FBF26}
Helton Creek,Grayson,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{C5F941BC-1C87-4692-A72B-855D1EE3E930}
Cabin Creek,Grayson,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{3A3F9DFC-5494-4FA3-A975-B24EB17EBCDF}
Burks Fork,Floyd,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{EB95A66B-8C30-452F-87DA-08C4A8CD4723}
"Helton Creek, MF",Grayson,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{E10354D4-DDFD-4BD8-A658-377BC6E0ADE0}
Mira Fork,Floyd,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{DD0ABD3B-003C-4B4E-88AD-D287CAF5095F}
Fox Creek,Grayson,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{761D825B-D04B-4596-9635-73306111BBB3}
Fox Creek,Grayson,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{28F82D35-BD1E-4AEB-8350-5CA8C711E5D2}
Black Run,Rockingham,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{DBC1C55F-9ECA-47D8-8AB1-0F0169E68472}
Little Irish Creek,Amherst,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{05B6C3FA-C3CE-42E2-A63E-39E1341E6B6B}
Mill Creek,Giles,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{512C4802-5A39-4DDA-BAAC-5FD9DC836443}
"Helton Creek, MF",Grayson,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{1418CA2D-6BB4-42E0-B748-1B4C7779BAE4}
Rock Castle Creek,Patrick,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{81132F44-6B62-4C53-A034-5CBAE2AB1A1D}
Dismal River Section A,Buchanan,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{B1F9FEE6-4AA1-4F35-978F-4644260475E5}
Mills Creek,Augusta,C,PNT,"0","0","1",,"0","1","0","1","0","0","1","0",{12EEEDE2-A312-4CC3-B088-F3216F6EA99E}
Mossy Creek,Augusta,SR,SR,"0","1","0","20"" Minimum. 1 trout limit. Fly fishing only. Requires a written landowner permit.","0","0","0","1","0","1","0","0",{9772752B-E336-4EC3-9EAF-819BC9B88A44}
Little Stony Creek,Shenandoah,WT,SR,"0","0","1","Wild trout stream(no stockings).  9"" Minimum.","0","0","0","1","0","0","1","3",{5416440A-147F-495A-A8DB-F760D393F594}
Upper Passage Creek,Page,C,PNT,"1","0","1",,"0","1","0","1","1","0","1","0",{2BAD292C-796A-4B59-ACF4-5AA835368B15}
Dry River,Rockingham,B,PNT,"0","0","1",,"0","0","0","1","0","0","1","0",{8AD6787A-D336-45B6-9BF2-1C5A40E9FB22}
Hone Quarry Run,Rockingham,C,PNT,"0","0","1",,"0","1","0","1","0","0","1","0",{91B5B625-EE60-42EE-A901-57F0CCF2C3F4}
Cub Run,Page,B,PNT,"0","0","1",,"0","1","0","1","0","0","1","0",{4BC6301A-9130-423D-B776-CD1FB4D9A85D}
Back Creek,Augusta,B,PNT,"1","1","1",,"0","1","0","1","1","1","1","0",{761F6ABC-FBA7-4318-8654-ED3A8A25530D}
North River (Natural Chimney/Lower),Augusta,B,PNT,"1","0","0",,"0","0","0","1","1","0","0","0",{BD434281-4B71-4A10-9F64-DEA103761C07}
Hawksbill Creek,Page,A,PNT,"1","0","0",,"1","0","0","3","1","0","0","0",{CDF2F019-2BB3-4259-8632-91347DA477A7}
North River (Tail),Augusta,DH,DH,"1","1","0",,"0","1","0","1","1","1","0","0",{C88FDB4F-5911-47EA-968A-D9B5E2FB6FE5}
North River (Gorge),Augusta,B,PNT,"1","0","1",,"0","1","0","1","1","0","1","0",{368D89CA-7ADE-4CAB-B060-37C611AC27C2}
Slate Lick Run,Rockingham,B,PNT,"0","0","1",,"0","1","0","1","0","0","1","0",{FD69B200-7EAF-4DA4-81BA-C04ABC6DA3D3}
South Branch Potomac River,Highland,B,PNT,"1","1","1",,"0","0","0","1","1","1","1","0",{86E1A07B-7660-4F19-9BB3-766E351C9E43}
Mill Creek,Shenandoah,B,PNT,"1","1","1",Not contiguous.,"0","0","0","1","1","1","1","0",{EA96C026-11A5-49F7-B5B2-3580B61330C3}
North Fork Shenandoah River (upper),Rockingham,B,PNT,"1","1","1",,"0","0","0","1","1","1","1","0",{6F9D416A-F93C-47A6-B1BC-30066EBE12D5}
North River,Augusta,B,PNT,"0","0","1",,"0","1","1","1","0","0","1","0",{6F52F010-AC6D-417C-B6DC-A0E0A2D9FC3B}
South Branch Potomac River,Highland,B,PNT,"1","1","1",,"0","0","0","1","1","1","1","0",{A3B50DF5-52B0-4E6F-9B3C-9BC9E36B64A2}
Passage Creek,Shenandoah,A,PNT,"1","1","1",,"1","1","0","3","1","1","1","0",{7FC54057-9BC7-4E1B-A541-21B3BD5872FD}
Jennings Creek,Botetourt,A,PNT,"1","1","1",,"1","1","0","3","1","1","1","0",{25CE981E-FBF8-4FFC-B41C-6F09A8F2F15E}
Bullpasture River,Highland,A,PNT,"1","1","1",,"0","0","0","3","1","1","1","0",{3AE3CD5B-E065-40D3-8330-84A74185CCC2}
Passage Creek,Warren,DH,DH,"1","1","1",Adjacent to DGIF property.,"0","0","0","1","1","1","1","0",{E41961AE-BB2B-42D8-B55D-811E48409C03}
German River (upper),Rockingham,C,PNT,"0","0","1",,"0","0","0","1","0","0","1","0",{44E90262-580F-4769-8661-C1A52538803D}
Jackson River Tailwater,Alleghany,SR,SR,"1","1","0","Limit 1 Brown Trout minimum 20"".  No Rainbow trout between 12 - 16"".  4 trout limit.","0","0","0","1","1","1","0","0",{4C2255F3-45C0-4E8F-AAD2-3733D594ACF4}
Craig Creek,Montgomery,B,PNT,"1","0","0",,"0","1","0","1","1","0","0","0",{9EB15A91-E8C7-4F56-8252-7F6E0877C654}
St. Marys River,Augusta,WT,SR,"0","0","1","Wild Trout(no stockings). 9"" minimum.","0","0","0","1","0","0","1","3",{559F1D53-D8DF-4810-9F15-DD3A23D18212}
South River (Rockbridge),Rockbridge,B,PNT,"1","1","1",,"0","0","0","1","1","1","1","0",{77BC1EA0-40B3-425A-9BD3-0375B330E31A}
Pads Creek,Bath,B,PNT,"0","0","1",South Fork,"0","1","0","1","0","0","1","0",{CF80CA62-1D03-4847-8C43-11111991AA4C}
Pounding Mill Creek,Alleghany,B,PNT,"0","0","1",,"0","1","0","1","0","0","1","0",{22F60D86-E4D6-4B6D-B016-B44C824198B2}
Barbours Creek,Craig,B,PNT,"0","0","1",,"0","0","0","1","0","0","1","0",{5334E986-8B4C-4F17-8265-ACD9852E353E}
North Fork Shenandoah River (LW bridge),Rockingham,B,PNT,"1","1","1",,"0","0","0","1","1","1","1","0",{EA0B261D-A124-472F-A509-72004B1BD3F3}
Maury River,Rockbridge,A,PNT,"1","1","1",,"0","0","0","3","1","1","1","0",{48DD6F27-A444-4492-9843-F2DB2530F3D6}
North Creek,Botetourt,SR,SR,"0","0","0",Catch and Release. Wild Rainbows and Brooks.,"0","1","0","1","0","0","0","0",{34FE3CF7-509D-47E6-A006-9932CFFBF1AC}
Happy Creek,Warren,B,PNT,"1","1","1",,"0","0","0","1","1","1","1","0",{B7B4FD23-FDCB-4636-9EE7-24C9E74DBB58}
Middle Creek,Botetourt,B,PNT,"1","0","0",,"0","0","0","1","1","0","0","0",{92E71E8E-DB80-4247-9BF3-AAA801B4C7D5}
North Fork Shenandoah (Lairs Run),Rockingham,B,PNT,"1","1","1",,"0","0","0","1","1","1","1","0",{8D1097B2-9940-437A-897B-3DF12DC4D4C7}
Potts Creek,Craig,A,PNT,"1","1","0",,"0","1","0","3","1","1","0","0",{693E5471-A1F5-4360-9A46-C13D043A8465}
Irish Creek,Rockbridge,B,PNT,"0","0","1",,"0","1","0","1","0","0","1","0",{F8339219-F30A-4B1F-8CB3-8EEBBE4118AA}
South River (Rockbridge),Rockbridge,B,PNT,"1","1","1",,"0","0","0","1","1","1","1","0",{54132A32-72AC-42E2-9AB0-6155442BC13A}
